Parque Infantil        	      ;Calle: Bernardo Valdivieso y Cariamanga
Estadio                       ;Av. Orillas del Zamora y Lourdes
La Salle                      ;Av. Orillas del Zamora y Miguel Riofrío
La Urna                       ;Av. Santiago de las Montañas
Pradera                       ;Av. Eduardo Kingman
Ciudad Alegria                ;Av. Eloy Alfaro y Av. Condamine
Rosales                       ;Calle: Ángel Benigno Valarezo y Sixto Durán Romero
Esteban Godoy                 ;Av. Eloy Alfaro
Tebaida Baja                  ;Av. Pío Jaramillo Alvarado
Puerta de la Ciudad           ;Av. Universitaria
Lauro Guerrero                ;Calle: Lauro Guerrero y Azuay
Operadores                    ;Av. de los Paltas y Benjamín Carrión
Zona Militar                  ;Av. 8 de Diciembre y Guayaquil
Hipervalle                    ;Av. Orillas del Zamora y Guayaquil
Calazans                      ;Av. Orillas del Zamora y Isidro Ayora
Las Pitas                     ;Av. 8 de Diciembre
Terminal Terrestre            ;Av. 8 de Diciembre
Epoca                         ;Av. de los Paltas
Bomba la llave                ;Av. Manuel Carrión Pinzano y Manuel Palacios
Sauces Norte                  ;Av. Antigua a Cuenca y Picasso
Tame                          ;Av. Emiliano Ortega y José Antonio Eguiguren
Jose Antonio Eguiguren        ;Ramón Pinto y Jose Antonio Eguiguren
Mercadillo                    ;Ramón Pinto y Alonso de Mercadillo
San Pedro                     ;Argentina y Paraguay
Argentina y Pio Jaramillo     ;Argentina y Pío Jaramillo
Teatro Benjamin Carrión       ;Av. Salvador Bustamante Celi y Agustín Carrión Palacios
Papeleria los Molinos         ;Av. Salvador Bustaante Celi y Fco. Rodas
Las Pitas                     ;Jaime Roldos y Av. 8 de Diciembre
Clinica Nataly                ;Av. 8 de Diciembre y Santiago
Predesru                      ;Av. Santiago de las Montañas y Esmeraldas
Zamora Huayco                 ;Rio Marañón y Rio Santiago
Bellavista                    ;Argentina y Chile
Clodoveo                      ;La Habana y Av. Isidro Ayora
Shushuhuayco                  ;Puebla y Bello Horizonte
El Bosque                     ;Av. Manuel Carrión y Piura
Teniente Geovanny Calle       ;Teniente Geovanny Calle y Cabo Gonzalo Montesioca
Canchas de Calva y Calva      ;Av. Pío Jaramillo Alvarado y Adam Smith
Los Cocos                     ;Av. Pío Jaramillo Alvarado y Jhon Kenedy
Casa de enfermos Terminales   ;Romerillos y Manzanos
Redondel del Soldado          ;Av. Eduardo Kingman
Iglesia Verbo                 ;Av. Eduardo Kingman y Catamayo
Cabo Minacho                  ;Av. Eduardo Kingman y Saraguro
Coliseo Ciudad de Loja        ;Av. Pío Jaramillo y Brazil
Pio Jaramillo y Venezuela     ;Pío Jaramillo y Venezuela
Hotel La Castellana           ;Lauro Guerrero y Azuay
Agencia Banco de Loja         ;Lauro Guerrero y Jose Antonio Eguiguren
Laguna Daniel Álvarez         ;Av. Manuel Benjamin Carrión y Emiliano Zapata
Mega tallares                 ;Av. Manuel Bnejamín Carrión y Jorge Gaitán
Correccional de Menores        ;Manuel Benjamín Carrión y Lavalleja
Urna Divino Niño              ;Av. de los Paltas y Paraguay
Cajero Coopmego               ;Av. de los Paltas y Chorrera
Mecanica Lima                 ;Av. de los Paltas y Cañaris
Ines Jimenez                  ;Av. de los Paltas e Inés Jiménez
Funeraria Sueño Eterno        ;Av. Manuel Carrión Pinzano y José María Riofrío
Cajero Banco del Austro       ;Av. Manuel Carrión Pinzano y Clotario Paz
Fybeca                        ;Jaime Roldós y Av. Salvador Bustamante Celi
Tapiceria Terminal            ;Av. 8 de Diciembre y Av. Isidro Ayora
Entrada a Motupe              ;Av. 8 de Diciembre y Detroit
Tedaza                        ;Av. 8 de Diciembre y Chantaco
La Gallera                    ;Av. 8 de Diciembre y Eduardo Palacio
Adelca                        ;Av. 8 de Diciembre y Eduerdo Puerta
Complejo Deportivo Médicos    ;Av. 8 de Diciembre y Pacheco
Zoologico                     ;Av. 8 de Diciembre y Belisario Moreno
Hostal Mar Bella              ;Av. Isidro Ayora y Av. 8 de Diciembre
Entrada a Chinguilanchi       ;Av. Salvador Bustamante Celi y Vía a Chinguilanchi
Colegio Eugenio Espejo        ;Av. Salvador Bustamante Celi e Isla San Cristobal
Ilelsa                        ;Av. Salvador Bustamante Celi y Homero Idrovo
Ingreso a Rosales             ;Av. Eduardo Kingman y Ricardo Palma
Centro de Salud Zamora Huayco ;Río Marañón y Río Curararay
Yahuarcuna                    ;Romerillos y Gobernación de Mainas
Iglesia Evangélica            ;Av. Pío Jaramillo Alvarado y Nicolás Copérnico
Mater-dei                     ;Av. de los Paltas y Av. Manuel Benjamín Carrión













